#SampleID	Type	Class1	Class2	Class3	ClassOther
'000009052.1130000'	6month	0	2	0	0
'000009410.1130368'	6month	0	2	0	0
'000001125.1130088'	6month	0	0	0	0
'000005879.1130304'	6month	0	0	0	0
'000005768.1130164'	6month	0	0	0	0
'000009580.1130174'	6month	0	2	0	0
'000001759.1130559'	6month	0	0	0	1
'000001270.1130465'	6month	1	0	0	0
'000009196.1130358'	6month	0	2	0	0
'000009101.1130491'	6month	0	2	0	0
'000001719.1130248'	6month	0	0	0	1
'000002125.1130222'	6month	0	0	0	1
'000003155.1130361'	6month	1	0	0	0
'000006114.1130329'	6month	0	2	0	0
'000009224.1130015'	6month	0	2	0	0
'000003154.1130494'	6month	1	0	0	0
'000009239.1130379'	6month	0	2	0	0
'000002534.1130403'	6month	1	0	0	0
'000009225.1130429'	6month	0	2	0	0
'000001241.1130571'	6month	1	0	0	0
'000006084.1130445'	6month	0	2	0	0
'000006035.1130448'	6month	0	0	0	0
'000007057.1130394'	6month	0	2	0	0
'000007055.1130316'	6month	0	2	0	0
'000009004.1130263'	6month	0	2	0	0
'000009140.1130364'	6month	0	2	0	0
'000009210.1130218'	6month	0	2	0	0
'000009375.1130497'	6month	0	2	0	0
'000009601.1130258'	6month	0	2	0	0
'000001303.1130153'	6month	1	0	0	0
'000002370.1130350'	6month	1	0	0	0
'000008998.1130367'	6month	0	2	0	0
'000001391.1130053'	6month	1	0	0	0
'000008963.1130489'	6month	0	2	0	0
'000007053.1130145'	6month	0	2	0	0
'000002079.1130001'	6month	0	0	0	1
'000005228.1130467'	6month	0	0	0	0
'000006763.1130413'	6month	0	2	0	0
'000009449.1130177'	6month	0	2	0	0
'000004918.1130508'	6month	0	0	0	0
'000003603.1130002'	6month	1	0	0	0
'000004916.1130017'	6month	0	0	0	0
'000007056.1130302'	6month	0	2	0	0
'000005738.1130478'	6month	0	0	0	0
'000001555.1130135'	6month	1	0	0	0
'000006973.1130264'	6month	0	2	0	0
'000009098.1130194'	6month	0	2	0	0
