SampleID,Type,'S5_18','ABS_6','Acidobacteria_class','Acidobacteria_5','Aconoidasida','Actinobacteria_class','Actinopterygii','Agaricomycetes','Alphaproteobacteria','Amphibia','Anaerolineae','Andreaeopsida','Anthocerotopsida','Anthozoa','Appendicularia','Aquificae_class','Arachnida','Archaeoglobi','Ascidiacea','Aves','Bacillariophyceae','Bacilli','Bacteroidia','Bangiophyceae','Betaproteobacteria','Bivalvia','Bljii12','Brachyspirae','Branchiopoda','Bryopsida','C2','CH21','CL500_48','Chlamydiae_class','Chloracidobacteria','Chlorobia','Chloroflexi_class','Chlorophyceae','Chondrichthyes','Chromadorea','Chrysiogenetes_class','Chytridiomycetes','Clostridia','Coccidia','Coniferopsida','Coscinodiscophyceae','Cryptophyta','Cycadopsida','Cytophagia','Deferribacteres_class','Dehalococcoidetes','Deinococci','Deltaproteobacteria','Dictyoglomia','Dinophyceae','Dothideomycetes','Echinoidea','Ellipura','Elusimicrobia_class','Enoplea','Enteropneusta','Epsilonproteobacteria','Erysipelotrichi','Eurotiomycetes','Exobasidiomycetes','FFCH393','Fibrobacteres_class','Flavobacteria','Fusobacteria_class','Gammaproteobacteria','Gemmatimonadetes_class','Ginkgoopsida','Glaucocystophyceae','Gloeobacteria','Halobacteria','Haplomitriopsida','Heterolobosea','Hirudinida','Holophagae','Hydrozoa','Ichthyosporea','Insecta','Isoetopsida','JG37_AG_4','Jungermanniopsida','Klebsormidiophyceae','Ktedonobacteria','Lecanoromycetes','Lentisphaerae_class','Leotiomycetes','Leptospirae','Liliopsida','Litostomatea','Lycopodiopsida','ML615J_28','Malacostraca','Mammalia','Maxillopoda','Methanobacteria','Methanococci','Methanomicrobia','Methanopyri','Mollicutes','Negativicutes','Neocallimastigomycetes','Nitrospira_class','Oligohymenophorea','Ophioglossopsida','Opitutae','PRR_11','PRR_12','Pelagophyceae','Pezizomycetes','Phycisphaerae','Planctomycea','Planctomycetacia','Polychaeta','Polypodiopsida','Polytrichopsida','Prasinophyceae','RB25','S15B_MN24','SJA_176','SJA_28','SOGA31','Saccharomycetes','Schizosaccharomycetes','Solibacteres','Sordariomycetes','Spartobacteria','Sphingobacteria','Spirochaetes_class','Sva0725','Synergistia','TK17','TM7_1','TM7_3','Taphrinomycetes','Thaumarchaeota','Thermococci','Thermomicrobia','Thermomicrobia_class','Thermoplasmata','Thermoprotei','Thermotogae_class','Trebouxiophyceae','Trematoda','Tremellomycetes','Ulvophyceae','Ustilaginomycetes','Verrucomicrobiae','Wallemiomycetes','YS2','ZB1','Zetaproteobacteria','Zygnemophyceae','agg27','iii1_8','mle1_12','unclassified_derivedfromAcidobacteria','unclassified_derivedfromArchaea','unclassified_derivedfromAscomycota','unclassified_derivedfromBacteria','unclassified_derivedfromBacteroidetes','unclassified_derivedfromBasidiomycota','unclassified_derivedfromCandidatusPoribacteria','unclassified_derivedfromChloroflexi','unclassified_derivedfromChlorophyta','unclassified_derivedfromChordata','unclassified_derivedfromCrenarchaeota','unclassified_derivedfromCyanobacteria','unclassified_derivedfromElusimicrobia','unclassified_derivedfromEuglenida','unclassified_derivedfromEukaryota','unclassified_derivedfromEuryarchaeota','unclassified_derivedfromEustigmatophyceae','unclassified_derivedfromFirmicutes','unclassified_derivedfromFungi','unclassified_derivedfromKorarchaeota','unclassified_derivedfromLentisphaerae','unclassified_derivedfromMicrosporidia','unclassified_derivedfromNanoarchaeota','unclassified_derivedfromPhaeophyceae','unclassified_derivedfromPlacozoa','unclassified_derivedfromProteobacteria','unclassified_derivedfromStreptophyta','unclassified_derivedfromSynergistetes','unclassified_derivedfromThaumarchaeota','unclassified_derivedfromVerrucomicrobia','unclassified_derivedfromViruses','unclassified_derivedfromothersequences','unclassified_derivedfromunclassifiedsequences','vadinHA49'
'000001344.1130722',multipleyear,0,0,0,0,0,0.000440335,0,0,0.00012581,0,0,0,0,0,0,0,0,0,0,0,0,0.002390388,0.060954897,0,6.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29E-05,0,0,0,0,0,0,0.92313015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000001284.1130792',multipleyear,0,0,0,0,0,0.015058766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033790402,0.255999021,0,0.000122429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198334966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122429,0.050073457,0,0,0,0,0,0,0.437438786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000489716,0,0,0,0.0084476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000002943.1130815',multipleyear,0,0,0,0,0,0.052589393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078550118,0.263882086,0,0.01277998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539074676,0,0,0,0,0,0,0,0,0,0.01473928,0,0,0,0,0,0,0,0,0,0.001157768,0,0,0,0,0,0.00102418,0.022220243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013136216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000001354.1130705',multipleyear,0,0,0,0,0,0.003267317,0,0,0.003116518,0,0,0,0,0,0,0,0,0,0,0,0,0.000351865,0.228511109,0,0.00392078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38021514,0,0,0,0,0,0,0,0,0,0.0131698,0,0,0,0,0,0,0,0,5.03E-05,0.005479039,0,0,0,0,0,0,0.02367548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002060923,0,0,0,0,0,0,0,0.205991756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130089474,0,0.000100533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000002885.1130661',multipleyear,0,0,0,0,0,0.018428872,0,0,0.001135112,0,0,0,0,0,0,0,0,0,0,0,0,0.001569125,0.230828298,0,0.001235269,0,0,0.000166928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732581044,0,0,0,0,0,0,0,0,0,0.00313825,0,0,0,0,0,0,0,0,0.000233699,0.004306747,0,0,0,0,0,3.34E-05,0.001101726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000367242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004874303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000003458.1130948',multipleyear,0,0,0,0,0,0.03049011,0,0,0.004661711,0,0,0,0,0,0,0,0,0,0,0,0,0.001385914,0.244172861,0,0.001574902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70177649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000188988,0.010772332,0,0,0,0,0,0,0.004346731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000503969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000001155.1130657',multipleyear,0,0,0,0,0,0.00237591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001239605,0.320024792,0,5.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036103507,0,0,0,0,0,0,0,0,0,0.019213884,0,0,0,0,0,0,0,0,0,0.003099013,0,0,0,0,0,0,0.614276122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002427561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001187955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000001231.1130928',multipleyear,0,0,0,0,0,0.00956149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006630765,0.288529875,0,0.006447595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56650914,0,0,0,0,0,0,0,0,0,0.002674287,0,0,0,0,0,0,0,0,0.000146536,0.0150566,0,0,0,0,0,0.000146536,0.104297176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000001654.1130912',multipleyear,0,0,0,0,0,0.0048627,0,0,0.000457666,0,0,0,0,0,0,0,0,0,0,0,0,0.015446224,0.034038902,0,0.037414188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01590389,0,0,0,0,0,0,0,0,0,5.72E-05,0,0,0,0,0,0,0,0,0.000171625,0.001086957,0,0,0,0,0.001487414,0,0.853032037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000457666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'000001615.1130578',multipleyear,0,0,0,0,0,0.000304878,0,0,0.00152439,0,0,0,0,0,0,0,0,0,0,0,0,0.002972561,0.01714939,0,0.00929878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016844512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003353659,0,0,0,0,0,0,0.947256098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000838415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
