"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
1810,0,5,4495194.3,"EM320-T0",6699140,29821,42609,1,0
1811,0,5,4495195.3,"EM321-T0",4999973,22255,35009,1,0
1812,0,5,4495196.3,"EM323-T0",5996294,26812,42111,1,0
1813,0,5,4495197.3,"EM326-T0",5707857,25388,38275,1,0
1663,0,5,4491405.3,"EM326_R_DG2_2A",87085125,37556,60981,1,0
1814,0,5,4495198.3,"EM327-T0",5675364,25355,42876,1,0
1815,0,5,4495199.3,"EM328-T0",5813897,25866,40867,1,0
1816,0,5,4495200.3,"EM330-T0",6565993,29292,40929,1,0
1817,0,5,4495201.3,"EM334-T0",6242684,27769,46831,1,0
1664,0,5,4491404.3,"EM334_DH_DG2_1B",97372400,97450,51172,1,0
1818,0,5,4495202.3,"EM337-T0",7186982,31967,31000,1,0
1665,0,5,4491403.3,"EM337_R_DG3_2A",97437092,91347,99699,1,0
1819,0,5,4495203.3,"EM338-T0",5642135,25113,35119,1,0
1667,0,5,4491401.3,"EM338_DH_DG2_3A",137991691,100106,133320,1,0
1820,0,5,4495204.3,"EM350-T0",7065697,31471,55660,1,0
1666,0,5,4491402.3,"EM350_DH_DG2_3A",85421346,24213,37005,1,0
1821,0,5,4495205.3,"EM351-T0",6693835,29777,49776,1,0
1822,0,5,4495206.3,"EM354-T0",7191349,31971,58226,1,0
1823,0,5,4495207.3,"EM355-T0",6410722,28508,51831,1,0
1824,0,5,4495208.3,"EM356-T0",6728675,29950,54113,1,0
1825,0,5,4495209.3,"EM357-T0",6866187,30581,30293,1,0
1826,0,5,4495210.3,"EM358-T0",7126579,31700,51860,1,0
1827,0,5,4495211.3,"EM361-T0",6291599,27982,49486,1,0
1828,0,5,4495212.3,"EM363-T0",5442844,24301,45609,1,0
1829,0,5,4495213.3,"EM364-T0",5592788,24867,38074,1,0
1830,0,5,4495214.3,"EM365-T0",2581473,11476,13000,1,0
1831,0,5,4495215.3,"EM366-T0",3609569,16056,26293,1,0
1832,0,5,4495216.3,"EMc01",3500460,15803,23781,1,0
1833,0,5,4495217.3,"EMc02",2585746,11670,20767,1,0
1834,0,5,4495218.3,"EMc03",3183579,14370,14849,1,0
1835,0,5,4495219.3,"EMc04",4100029,18524,31951,1,0
1836,0,5,4495220.3,"EMc05",3770084,17023,29097,1,0
1837,0,5,4495221.3,"EMc06",3667488,16552,21966,1,0
1838,0,5,4495222.3,"EMc07",5054443,22827,37280,1,0
1839,0,5,4495223.3,"EMc08",3642196,16449,27403,1,0
1840,0,5,4495224.3,"EMc09",4298315,19395,31468,1,0
1841,0,5,4495225.3,"EMc10",6675366,29679,54081,1,0
1842,0,5,4495226.3,"EMc11",5575568,24840,36638,1,0
1843,0,5,4495227.3,"EMc12",6243406,27789,43897,1,0
1844,0,5,4495228.3,"EMc13",6044870,26894,43703,1,0
