"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
2235,0,14,4542200.3,"ITS3.DIET18",628646,4365,3216,1,0
2236,0,14,4541933.3,"DIET19",10793870,53435,51538,1,0
2237,0,14,4541934.3,"DIET2",7611360,37680,36097,1,0
2238,0,14,4541935.3,"DIET20",2385418,11809,11379,1,0
2239,0,14,4542201.3,"ITS3.DIET20",5756330,40223,35587,1,0
2240,0,14,4541936.3,"DIET21",20882760,103380,103459,1,0
2241,0,14,4541937.3,"DIET22",8555912,42356,42486,1,0
2242,0,14,4542202.3,"ITS3.DIET22",1573706,10998,6681,1,0
2243,0,14,4541938.3,"DIET23",22102234,109417,96497,1,0
2244,0,14,4541939.3,"DIET24",8519754,42177,36665,1,0
2245,0,14,4541940.3,"DIET25",14520770,71885,71410,1,0
2246,0,14,4542203.3,"ITS3.DIET25",20485115,138290,130533,1,0
2247,0,14,4541941.3,"DIET26",19424724,96162,96148,1,0
2248,0,14,4541942.3,"DIET27",20799738,102969,102991,1,0
2249,0,14,4541943.3,"DIET28",21235452,105126,105063,1,0
2250,0,14,4541944.3,"DIET29",19587132,96966,96595,1,0
2251,0,14,4541945.3,"DIET3",9363306,46353,46282,1,0
2252,0,14,4541946.3,"DIET30",19134046,94723,94232,1,0
2253,0,14,4541947.3,"DIET31",18874072,93436,93233,1,0
2254,0,14,4542204.3,"ITS3.DIET31",9611785,67216,59639,1,0
2255,0,14,4541948.3,"DIET32",6614490,32745,32843,1,0
2256,0,14,4541949.3,"DIET33",15545920,76960,77033,1,0
2257,0,14,4541950.3,"DIET34",21601274,106937,106690,1,0
2258,0,14,4542205.3,"ITS3.DIET34",1693141,11994,8714,1,0
2259,0,14,4541951.3,"DIET35",15315236,75818,70873,1,0
2260,0,14,4541952.3,"DIET36",18718128,92664,87607,1,0
2261,0,14,4541953.3,"DIET37",17696412,87606,71719,1,0
2262,0,14,4542206.3,"ITS3.DIET37",13984175,116447,104466,1,0
2263,0,14,4541954.3,"DIET38",21258682,105241,105586,1,0
2264,0,14,4541955.3,"DIET39",24630668,121934,122295,1,0
2265,0,14,4541956.3,"DIET4",12988600,64300,64195,1,0
2266,0,14,4542207.3,"ITS3.DIET4",1095497,7451,2840,1,0
2267,0,14,4541957.3,"DIET40",9354216,46308,46352,1,0
2268,0,14,4541958.3,"DIET41",13271400,65700,59019,1,0
2269,0,14,4541959.3,"DIET42",7099896,35148,30640,1,0
2270,0,14,4541960.3,"DIET43",14317356,70878,59997,1,0
2271,0,14,4542208.3,"ITS3.DIET43",2088746,14386,12016,1,0
2272,0,14,4541961.3,"DIET44",25097692,124246,124360,1,0
2273,0,14,4541962.3,"DIET45",19763478,97839,97443,1,0
2274,0,14,4541963.3,"DIET46",17032438,84319,78393,1,0
2275,0,14,4541964.3,"DIET47",11370984,56292,55196,1,0
2276,0,14,4541965.3,"DIET48",7390776,36588,35770,1,0
2277,0,14,4541966.3,"DIET49",11444916,56658,54682,1,0
2278,0,14,4542209.3,"ITS3.DIET49",24412690,173023,156323,1,0
2279,0,14,4541967.3,"DIET5",11004960,54480,54477,1,0
2280,0,14,4541968.3,"DIET50",9964054,49327,49479,1,0
2281,0,14,4541969.3,"DIET51",7805280,38640,38819,1,0
2282,0,14,4541970.3,"DIET52",7502280,37140,37173,1,0
2283,0,14,4542210.3,"ITS3.DIET52",22773718,160706,144759,1,0
2284,0,14,4541971.3,"DIET53",23777824,117712,117103,1,0
2285,0,14,4541972.3,"DIET54",14808014,73307,73267,1,0
2286,0,14,4542211.3,"ITS3.DIET54",1003075,6940,3474,1,0
2287,0,14,4541973.3,"DIET55",21662076,107238,106444,1,0
2288,0,14,4541974.3,"DIET56",9896384,48992,48182,1,0
2289,0,14,4542212.3,"ITS3.DIET56",1368783,9292,5083,1,0
2290,0,14,4541975.3,"DIET6",10722160,53080,53040,1,0
2291,0,14,4542213.3,"ITS3.DIET6",1331239,9214,6544,1,0
2292,0,14,4541976.3,"DIET7",15955778,78989,78574,1,0
2293,0,14,4541977.3,"DIET8",9867498,48849,48398,1,0
